sample,x1,x2,h1,h2,h3,h4,z2_1,z2_2,prediction,ground_truth
0,579,-1200,0,2548,0,2432,2257,-2241,0,0
1,-2336,-2437,0,0,0,0,-4937,4937,1,1
2,-205,-1452,0,1482,0,1397,-779,786,1,0
3,307,432,0,4747,0,4592,8556,-8525,0,0
4,1130,-1479,0,2615,0,2492,2440,-2425,0,0
5,-611,-405,0,2690,0,2587,2687,-2670,0,1
6,134,3751,0,9553,0,9308,22317,-22251,0,0
7,-1273,-2736,0,0,0,0,-4937,4937,1,1
8,-2158,-1088,0,310,0,272,-4097,4097,1,1
9,-867,-2018,0,56,0,6,-4850,4848,1,1
10,-300,-1398,0,1480,0,1396,-784,791,1,1
11,4330,-1448,0,5473,0,5254,10561,-10525,0,0
12,246,296,0,4491,0,4341,7824,-7794,0,0
13,579,-696,0,3301,0,3171,4413,-4392,0,0
14,-122,-2193,0,448,0,383,-3739,3739,1,1
15,-700,634,0,4164,0,4033,6906,-6880,0,0
16,-600,-1192,0,1524,0,1443,-652,659,1,1
17,-122,-1968,0,785,0,712,-2776,2779,1,1
18,196,-1782,0,1342,0,1255,-1186,1193,1,1
19,-1335,-2150,0,0,0,0,-4937,4937,1,1
20,-261,1401,0,5695,0,5530,11282,-11244,0,0
21,-105,-2061,0,661,0,590,-3132,3134,1,1
22,-333,-3054,0,0,0,0,-4937,4937,1,1
23,-183,-2974,0,0,0,0,-4937,4937,1,1
24,791,-495,0,3788,0,3645,5802,-5777,0,0
25,-1079,-1805,0,187,0,138,-4469,4468,1,1
26,-1385,-1491,0,388,0,338,-3890,3890,1,1
27,2527,-3209,0,1259,0,1143,-1469,1475,1,1
28,-322,494,0,4287,0,4149,7251,-7224,0,0
29,68,-2263,0,511,0,441,-3564,3565,1,1
30,-750,-1002,0,1677,0,1594,-212,221,1,1
31,-2375,564,0,2588,0,2509,2427,-2411,0,0
32,435,-2274,0,817,0,737,-2693,2697,1,1
33,-3051,-3794,0,0,0,0,-4937,4937,1,1
34,-1546,-1464,0,286,0,242,-4175,4176,1,1
35,-856,-1212,0,1269,0,1197,-1375,1382,1,1
36,-1223,1138,0,4458,0,4328,7758,-7728,0,0
37,-2408,-3361,0,0,0,0,-4937,4937,1,1
38,-1713,-1646,0,0,0,0,-4937,4937,1,1
39,-1279,-1041,0,1153,0,1087,-1702,1708,1,1
40,-734,-1041,0,1632,0,1550,-341,349,1,0
41,-2464,-1534,0,0,0,0,-4937,4937,1,1
42,-1340,21,0,2686,0,2592,2688,-2671,0,0
43,-761,-2154,0,0,0,0,-4937,4937,1,1
44,-2325,-2487,0,0,0,0,-4937,4937,1,1
45,-1307,-2693,0,0,0,0,-4937,4937,1,1
46,1125,1184,0,6589,0,6389,13814,-13771,0,0
47,-2303,-1367,0,0,0,0,-4937,4937,1,1
48,-1674,-1506,0,112,0,71,-4674,4673,1,1
49,-1930,-1685,0,0,0,0,-4937,4937,1,1
50,1765,-863,0,4093,0,3933,6658,-6632,0,0
51,-1557,-297,0,2020,0,1941,785,-773,0,0
52,-1168,1173,0,4558,0,4426,8044,-8014,0,0
53,-1357,-2608,0,0,0,0,-4937,4937,1,1
54,-2191,1014,0,3421,0,3324,4809,-4787,0,0
55,-639,-3144,0,0,0,0,-4937,4937,1,1
56,980,-1584,0,2327,0,2211,1618,-1604,0,1
